Route,Stop,Stops away,Distance
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,11,1.41
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,7,0.95
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,5,0.72
B57,SMITH ST/UNION ST,4,0.54
B57,SMITH ST/UNION ST,2,0.39
B57,SMITH ST/UNION ST,1,0.21
B57,SMITH ST/UNION ST,0,0.02
B57,SMITH ST/UNION ST,48,6.47
B57,SMITH ST/UNION ST,47,6.39
B57,SMITH ST/UNION ST,47,6.29
B57,SMITH ST/UNION ST,45,6.14
B57,SMITH ST/UNION ST,44,6
B57,SMITH ST/UNION ST,43,5.67
B57,SMITH ST/UNION ST,42,5.51
B57,SMITH ST/UNION ST,42,5.41
B57,SMITH ST/UNION ST,40,5.06
B57,SMITH ST/UNION ST,39,4.94
B57,SMITH ST/UNION ST,39,4.81
B57,SMITH ST/UNION ST,37,4.52
B57,SMITH ST/UNION ST,37,4.33
B57,SMITH ST/UNION ST,35,4.04
B57,SMITH ST/UNION ST,33,3.91
B57,SMITH ST/UNION ST,33,3.84
B57,SMITH ST/UNION ST,33,3.76
B57,SMITH ST/UNION ST,32,3.63
B57,SMITH ST/UNION ST,31,3.5
B57,SMITH ST/UNION ST,30,3.44
B57,SMITH ST/UNION ST,27,3.08
B57,SMITH ST/UNION ST,25,2.78
B57,SMITH ST/UNION ST,22,2.52
B57,SMITH ST/UNION ST,21,2.42
B57,SMITH ST/UNION ST,20,2.25
B57,SMITH ST/UNION ST,20,2.23
B57,SMITH ST/UNION ST,18,2.03
B57,SMITH ST/UNION ST,15,1.83
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,11,1.49
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,7,0.98
B57,SMITH ST/UNION ST,7,0.93
B57,SMITH ST/UNION ST,6,0.75
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,2,0.38
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,47,6.41
B57,SMITH ST/UNION ST,45,6.13
B57,SMITH ST/UNION ST,44,6.04
B57,SMITH ST/UNION ST,44,5.99
B57,SMITH ST/UNION ST,44,5.78
B57,SMITH ST/UNION ST,42,5.35
B57,SMITH ST/UNION ST,40,5.08
B57,SMITH ST/UNION ST,11,1.48
B57,SMITH ST/UNION ST,39,4.8
B57,SMITH ST/UNION ST,38,4.69
B57,SMITH ST/UNION ST,38,4.57
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
